Country,Year,Population,Next Population,Growth Rate,Country Code,Region,IncomeGroup,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
Afghanistan,1970,10752971,12486631.0,0.16122613926885881,AFG,South Asia,Low income,51.502,26.88,,1748890000.0,156.519,,202.6,37.409,17.1149,
Afghanistan,1980,12486631,10694796.0,-0.14350027641563204,AFG,South Asia,Low income,50.321,21.109,,3641720000.0,272.655,,162.7,43.244,20.4585,
Afghanistan,1990,10694796,19542982.0,0.8273356499740622,AFG,South Asia,Low income,48.88,15.241,,,,0.0,121.1,50.331,19.0122,
Afghanistan,2000,19542982,28189672.0,0.4424447609888808,AFG,South Asia,Low income,48.021,11.718,,,,,90.6,55.841,31.8291,3.517
Afghanistan,2010,28189672,33753499.0,0.1973711152084352,AFG,South Asia,Low income,39.829,8.25,,15856600000.0,543.303,4.0,64.3,61.028,44.7041,2.275
Afghanistan,2015,33753499,,,AFG,South Asia,Low income,34.809,6.929,,19907100000.0,578.466,8.26,53.1,63.377,52.7121,1.679
Albania,1970,2324731,2941651.0,0.2653726388128347,ALB,Europe & Central Asia,Upper middle income,31.837,7.996,,,,,,66.935,77.9372,
Albania,1980,2941651,3295066.0,0.12014171633548643,ALB,Europe & Central Asia,Upper middle income,26.981,6.291,1142.97,,,,65.6,70.208,97.5181,
Albania,1990,3295066,3182021.0,-0.03430735530031872,ALB,Europe & Central Asia,Upper middle income,24.867,5.985,552.252,2028553750.0,617.23,0.0,35.2,71.836,119.947,
Albania,2000,3182021,2913399.0,-0.08441867605524916,ALB,Europe & Central Asia,Upper middle income,16.436,5.914,1449.65,3480360000.0,1126.68,0.114097,23.0,73.955,112.738,17.767
Albania,2010,2913399,2882481.0,-0.010612346609578709,ALB,Europe & Central Asia,Upper middle income,12.001,6.841,1943.34,11927000000.0,4094.36,45.0,11.9,76.562,106.315,14.086
Albania,2015,2882481,,,ALB,Europe & Central Asia,Upper middle income,12.197,7.367,,11386900000.0,3952.83,63.2529,8.5,78.025,105.135,17.08
Algeria,1970,13795915,18739378.0,0.3583280268108349,DZA,Middle East & North Africa,Upper middle income,47.092,16.653,,4863490000.0,336.225,,145.5,50.372,6.07328,
Algeria,1980,18739378,25518074.0,0.3617353788370137,DZA,Middle East & North Africa,Upper middle income,43.226,11.261,330.304,42345300000.0,2203.0,,101.5,58.198,8.07043,
Algeria,1990,25518074,30774621.0,0.20599309336590216,DZA,Middle East & North Africa,Upper middle income,32.13,6.207,531.584,62045100000.0,2408.69,0.0,41.8,66.938,10.8151,
Algeria,2000,30774621,35856344.0,0.16512707012703748,DZA,Middle East & North Africa,Upper middle income,19.554,4.961,683.295,54790200000.0,1765.02,0.491706,33.9,70.64,13.0334,29.77
Algeria,2010,35856344,39543154.0,0.10282169314305999,DZA,Middle East & North Africa,Upper middle income,24.504,4.656,1016.64,161000000000.0,4480.79,12.5,23.5,74.938,15.1055,9.96
Algeria,2015,39543154,,,DZA,Middle East & North Africa,Upper middle income,25.481,4.715,,166000000000.0,4177.89,38.2,21.4,76.09,16.6803,11.206
Angola,1970,6029700,8330047.0,0.38150272816226344,AGO,Sub-Saharan Africa,Upper middle income,50.619,23.872,,,,,,40.914,4.72477,
Angola,1980,8330047,11828638.0,0.41999654983939466,AGO,Sub-Saharan Africa,Upper middle income,50.134,20.467,60.6621,5930500000.0,710.982,,140.7,44.178,6.69069,
Angola,1990,11828638,16394062.0,0.3859636248907102,AGO,Sub-Saharan Africa,Upper middle income,50.383,19.555,53.1718,11228800000.0,947.704,0.0,132.0,45.306,9.5038,
Angola,2000,16394062,23364185.0,0.4251614395504909,AGO,Sub-Saharan Africa,Upper middle income,48.15,18.036,75.2647,9129590000.0,556.836,0.105046,122.2,46.522,13.1511,22.885
Angola,2010,23364185,28127721.0,0.20388196720750157,AGO,Sub-Saharan Africa,Upper middle income,45.656,11.68,206.454,83799500000.0,3587.88,2.8,76.0,55.35,18.7345,9.089
Angola,2015,28127721,,,AGO,Sub-Saharan Africa,Upper middle income,42.52,9.052,,116000000000.0,4166.98,12.4,57.8,59.398,22.3666,7.279
Argentina,1970,23842803,28024803.0,0.17539884048029084,ARG,Latin America & Caribbean,High income: nonOECD,23.09,8.97,,31584200000.0,1322.59,,59.0,66.483,8.72607,
Argentina,1980,28024803,32637657.0,0.16459898041031726,ARG,Latin America & Caribbean,High income: nonOECD,24.718,8.601,1243.63,76961900000.0,2758.84,,37.0,69.496,10.1935,
Argentina,1990,32637657,37070774.0,0.13582828571303387,ARG,Latin America & Caribbean,High income: nonOECD,22.226,8.163,1303.98,141000000000.0,4333.48,0.0,25.3,71.594,11.919,
Argentina,2000,37070774,41100123.0,0.10869341438622242,ARG,Latin America & Caribbean,High income: nonOECD,19.499,7.845,2088.81,284000000000.0,7708.1,7.03868,17.5,73.576,13.4728,15.0
Argentina,2010,41100123,43257065.0,0.052480183575119715,ARG,Latin America & Caribbean,High income: nonOECD,18.154,7.708,2877.65,424000000000.0,10386.0,45.0,12.9,75.278,14.9043,7.714
Argentina,2015,43257065,,,ARG,Latin America & Caribbean,High income: nonOECD,17.548,7.638,,595000000000.0,13789.1,68.0431,10.2,76.068,15.7606,7.643
Armenia,1970,2534377,3135123.0,0.23703892514807387,ARM,Europe & Central Asia,Lower middle income,22.694,6.203,,,,,,70.144,88.6922,
Armenia,1980,3135123,3556539.0,0.13441769270296572,ARM,Europe & Central Asia,Lower middle income,23.823,6.274,,,,,59.8,70.937,108.878,
Armenia,1990,3556539,3168523.0,-0.10909932380890523,ARM,Europe & Central Asia,Lower middle income,21.768,8.473,2722.59,2256840000.0,637.855,0.0,41.8,67.879,124.277,
Armenia,2000,3168523,2946293.0,-0.07013677981823077,ARM,Europe & Central Asia,Lower middle income,12.91,8.575,1297.57,1911560000.0,622.742,1.30047,27.1,71.409,107.818,11.253
Armenia,2010,2946293,2878595.0,-0.022977348145618918,ARM,Europe & Central Asia,Lower middle income,15.304,9.739,1726.26,9260280000.0,3218.37,25.0,16.5,73.331,101.065,19.008
Armenia,2015,2878595,,,ARM,Europe & Central Asia,Lower middle income,14.795,9.823,,10553300000.0,3607.3,59.1024,12.8,74.467,102.759,18.261
Aruba,1970,59106,62267.0,0.0534801881365682,ABW,Latin America & Caribbean,High income: nonOECD,24.099,5.671,,,,,,69.14,328.128,
Aruba,1980,62267,65712.0,0.05532625628342461,ABW,Latin America & Caribbean,High income: nonOECD,22.472,6.376,,,,,,72.293,333.867,
Aruba,1990,65712,89101.0,0.3559319454589725,ABW,Latin America & Caribbean,High income: nonOECD,19.571,7.059,,764887000.0,12307.3,0.0,,73.468,345.272,
Aruba,2000,89101,100341.0,0.1261489770036251,ABW,Latin America & Caribbean,High income: nonOECD,14.173,6.971,,1873450000.0,20620.7,15.4428,,73.787,504.739,
Aruba,2010,100341,104257.0,0.03902691820890763,ABW,Latin America & Caribbean,High income: nonOECD,11.214,7.918,,2390500000.0,23512.6,62.0,,75.017,564.828,
Aruba,2015,104257,,,ABW,Latin America & Caribbean,High income: nonOECD,11.281,8.627,,2691620000.0,25796.4,88.6612,,75.725,579.672,
Australia,1970,12595034,14706322.0,0.167628606639728,AUS,East Asia & Pacific,High income: OECD,20.6,9.0,3609.98,41271100000.0,3299.84,,17.8,71.0185,1.62803,
Australia,1980,14706322,17048003.0,0.15922954767344275,AUS,East Asia & Pacific,High income: OECD,15.3,7.3,5915.26,150000000000.0,10194.4,,10.8,74.3337,1.91245,
Australia,1990,17048003,19017963.0,0.11555371030847425,AUS,East Asia & Pacific,High income: OECD,15.4,7.0,8527.23,311000000000.0,18211.1,0.585095,7.6,76.9946,2.22135,
Australia,2000,19017963,22019168.0,0.15780896197978722,AUS,East Asia & Pacific,High income: OECD,13.0,6.7,10193.9,415000000000.0,21679.2,46.7561,5.1,79.2341,2.49313,6.283
Australia,2010,22019168,23820236.0,0.08179546111824025,AUS,East Asia & Pacific,High income: OECD,13.7,6.5,10726.9,1150000000000.0,52022.1,76.0,4.0,81.6951,2.86786,5.211
Australia,2015,23820236,,,AUS,East Asia & Pacific,High income: OECD,12.9,6.6,,1350000000000.0,56748.4,84.5605,3.2,82.4,3.10011,6.056
Austria,1970,7465301,7547561.0,0.011018979676773916,AUT,Europe & Central Asia,High income: OECD,15.0,13.2,3019.12,15373000000.0,2058.77,,25.1,69.9146,90.4225,
Austria,1980,7547561,7678729.0,0.017378859210279984,AUT,Europe & Central Asia,High income: OECD,12.0,12.2,4684.46,82058900000.0,10869.5,,13.9,72.4634,91.4196,
Austria,1990,7678729,8010428.0,0.043197122857181185,AUT,Europe & Central Asia,High income: OECD,11.8,10.8,6111.48,166000000000.0,21681.0,0.130369,8.0,75.5683,92.9747,
Austria,2000,8010428,8362829.0,0.04399278041073461,AUT,Europe & Central Asia,High income: OECD,9.8,9.6,7076.27,197000000000.0,24564.5,33.7301,4.6,78.1268,97.0158,4.687
Austria,2010,8362829,8642421.0,0.03343270560715758,AUT,Europe & Central Asia,High income: OECD,9.4,9.2,8382.71,392000000000.0,46858.0,75.17,3.6,80.5805,101.287,4.82
Austria,2015,8642421,,,AUT,Europe & Central Asia,High income: OECD,9.8,9.6,,382000000000.0,44176.7,83.9401,3.0,81.1902,104.731,5.723
Azerbaijan,1970,5425317,6383060.0,0.17653217314306244,AZE,Europe & Central Asia,Upper middle income,32.003,9.491,,,,,,63.141,62.2472,
Azerbaijan,1980,6383060,7427836.0,0.1636794891478382,AZE,Europe & Central Asia,Upper middle income,26.591,8.358,,,,,,64.161,73.912,
Azerbaijan,1990,7427836,8190337.0,0.10265452818290549,AZE,Europe & Central Asia,Upper middle income,25.9,6.1,2575.64,8858010000.0,1237.32,0.0,76.1,64.827,86.0281,
Azerbaijan,2000,8190337,9237202.0,0.12781708493801902,AZE,Europe & Central Asia,Upper middle income,14.5,5.8,2040.48,5272620000.0,655.097,0.147758,61.3,66.763,97.4348,11.8
Azerbaijan,2010,9237202,9863480.0,0.0677995349674068,AZE,Europe & Central Asia,Upper middle income,18.3,5.9,1603.43,52902700000.0,5842.81,46.0,32.8,70.938,109.542,5.63
Azerbaijan,2015,9863480,,,AZE,Europe & Central Asia,Upper middle income,17.2,5.7,,53074500000.0,5500.32,77.0,23.3,72.266,116.731,4.96
Bahrain,1970,222555,362595.0,0.629237716519512,BHR,Middle East & North Africa,High income: nonOECD,38.264,7.081,,,,,56.6,63.449,308.123,
Bahrain,1980,362595,517418.0,0.42698603124698353,BHR,Middle East & North Africa,High income: nonOECD,32.931,4.28,4612.55,3072700000.0,8537.93,,26.7,69.55,521.577,
Bahrain,1990,517418,711442.0,0.3749850217812291,BHR,Middle East & North Africa,High income: nonOECD,29.217,3.386,15621.1,4229790000.0,8528.98,0.0,19.5,72.39,718.741,
Bahrain,2000,711442,1213645.0,0.7058945072121129,BHR,Middle East & North Africa,High income: nonOECD,21.722,2.835,20014.7,9062910000.0,13636.4,6.15373,10.8,74.44,936.072,1.053
Bahrain,2010,1213645,1362142.0,0.12235620795207824,BHR,Middle East & North Africa,High income: nonOECD,16.547,2.327,18038.3,25713300000.0,20722.1,55.0,7.3,76.057,1628.43,1.13
Bahrain,2015,1362142,,,BHR,Middle East & North Africa,High income: nonOECD,15.096,2.346,,31125900000.0,22688.9,93.4783,6.5,76.762,1763.3,1.076
Bangladesh,1970,67541860,83929765.0,0.24263330918041048,BGD,South Asia,Lower middle income,47.217,19.001,,8992720000.0,140.003,,148.9,46.942,493.451,
Bangladesh,1980,83929765,107147651.0,0.27663470760343484,BGD,South Asia,Lower middle income,43.039,14.444,19.1111,18138000000.0,227.752,,133.6,52.9,611.811,
Bangladesh,1990,107147651,129193327.0,0.20575043684345445,BGD,South Asia,Lower middle income,35.099,10.352,49.781,31598300000.0,306.269,0.0,99.6,58.21,792.594,
Bangladesh,2000,129193327,148391139.0,0.14859755101747632,BGD,South Asia,Lower middle income,27.493,6.883,104.608,53369800000.0,418.069,0.0710394,63.9,65.447,980.701,3.27
Bangladesh,2010,148391139,157830000.0,0.06360798268419518,BGD,South Asia,Lower middle income,21.107,5.734,247.263,115000000000.0,781.154,3.7,38.9,69.881,1133.71,3.379
Bangladesh,2015,157830000,,,BGD,South Asia,Lower middle income,19.156,5.549,,195000000000.0,1248.45,14.4,29.6,71.514,1200.4,4.416
Barbados,1970,241397,253575.0,0.050448017166741924,BRB,Latin America & Caribbean,High income: nonOECD,21.736,8.833,,,,,40.9,68.65,555.572,
Barbados,1980,253575,258868.0,0.020873508823819383,BRB,Latin America & Caribbean,High income: nonOECD,17.698,8.479,,860389000.0,3408.91,,23.6,72.222,586.963,
Barbados,1990,258868,264657.0,0.02236274858228904,BRB,Latin America & Caribbean,High income: nonOECD,15.988,7.763,,2023320000.0,7754.08,0.0,16.1,74.704,606.828,
Barbados,2000,264657,274711.0,0.03798879304155945,BRB,Latin America & Caribbean,High income: nonOECD,13.934,7.553,,3121500000.0,11496.6,3.97368,13.7,77.162,631.43,9.35
Barbados,2010,274711,278083.0,0.012274717794336594,BRB,Latin America & Caribbean,High income: nonOECD,11.748,8.368,,4529900000.0,16056.0,65.1,13.5,78.364,656.119,10.69
Barbados,2015,278083,,,BRB,Latin America & Caribbean,High income: nonOECD,10.806,8.789,,4584150000.0,16066.5,76.11,12.3,78.801,663.544,11.35
Belarus,1970,9170786,9817257.0,0.07049243107406497,BLR,Europe & Central Asia,Upper middle income,15.976,8.989,,,,,,70.0792,44.5671,
Belarus,1980,9817257,10428525.0,0.0622646427612112,BLR,Europe & Central Asia,Upper middle income,16.177,9.9,,,,,17.2,69.802,47.5399,
Belarus,1990,10428525,10256483.0,-0.016497251528859547,BLR,Europe & Central Asia,Upper middle income,14.0,10.8,4380.9,21650000000.0,2124.84,0.0,12.1,70.8366,50.2317,
Belarus,2000,10256483,9731427.0,-0.05119259691650637,BLR,Europe & Central Asia,Upper middle income,9.4,13.5,2996.31,12736900000.0,1276.29,1.8604,9.9,68.9122,49.1994,11.942
Belarus,2010,9731427,9700609.0,-0.0031668531244184433,BLR,Europe & Central Asia,Upper middle income,11.4,14.5,3563.64,58665100000.0,6181.4,31.8,4.2,70.4049,46.7747,6.061
Belarus,2015,9700609,,,BLR,Europe & Central Asia,Upper middle income,12.5,12.6,,56454700000.0,5949.11,62.2304,3.0,73.6244,46.7519,5.913
Belgium,1970,9629376,9828986.0,0.020729276746489077,BEL,Europe & Central Asia,High income: OECD,14.7,12.3,3031.52,26849100000.0,2780.7,,20.5,70.972,,
Belgium,1980,9828986,9959560.0,0.01328458500195239,BEL,Europe & Central Asia,High income: OECD,12.6,11.5,4893.89,128000000000.0,12932.9,,12.3,73.2071,,
Belgium,1990,9959560,10264343.0,0.030602054709244184,BEL,Europe & Central Asia,High income: OECD,12.4,10.4,6380.31,206000000000.0,20710.6,0.00100674,8.3,76.052,,
Belgium,2000,10264343,10877947.0,0.059780153488635364,BEL,Europe & Central Asia,High income: OECD,11.4,10.2,8247.68,238000000000.0,23207.4,29.4317,4.8,77.722,338.549,6.586
Belgium,2010,10877947,11248303.0,0.03404649792833151,BEL,Europe & Central Asia,High income: OECD,11.9,9.7,8393.95,484000000000.0,44380.2,75.0,3.6,80.1829,359.828,8.292
Belgium,2015,11248303,,,BEL,Europe & Central Asia,High income: OECD,10.8,9.8,,456000000000.0,40441.1,85.0529,3.2,80.9927,372.331,8.482
Belize,1970,120905,145133.0,0.2003887349571978,BLZ,Latin America & Caribbean,Upper middle income,41.927,8.323,,53233500.0,435.69,,70.1,65.566,5.35651,
Belize,1980,145133,182589.0,0.2580805192478623,BLZ,Latin America & Caribbean,Upper middle income,41.365,6.621,,197938000.0,1373.09,,49.3,69.577,6.31982,
Belize,1990,182589,240406.0,0.31665105784028613,BLZ,Latin America & Caribbean,Upper middle income,35.862,5.408,,412086000.0,2197.19,0.0,31.2,71.242,8.22236,
Belize,2000,240406,322106.0,0.3398417676763475,BLZ,Latin America & Caribbean,Upper middle income,29.868,5.826,,832072450.0,3364.42,5.96384,20.0,68.847,10.8424,10.559
Belize,2010,322106,359871.0,0.1172440128404935,BLZ,Latin America & Caribbean,Upper middle income,23.402,4.597,,1396731700.0,4331.43,28.2,16.2,72.057,14.137,11.659
Belize,2015,359871,,,BLZ,Latin America & Caribbean,Upper middle income,21.733,4.624,,1762500450.0,4883.18,41.59,13.2,74.034,15.8235,9.97
Benin,1970,3023443,3833939.0,0.2680705407709026,BEN,Sub-Saharan Africa,Low income,46.835,23.525,,333628000.0,114.557,,155.2,42.152,25.8278,
Benin,1980,3833939,5133419.0,0.33894122989437236,BEN,Sub-Saharan Africa,Low income,47.337,19.477,27.7093,1405250000.0,378.044,,127.1,47.19,32.9653,
Benin,1990,5133419,6998023.0,0.363228483784394,BEN,Sub-Saharan Africa,Low income,46.029,14.68,34.9503,1959970000.0,393.686,0.0,105.8,53.812,44.1513,
Benin,2000,6998023,9445710.0,0.34976835600568906,BEN,Sub-Saharan Africa,Low income,42.371,12.69,58.1129,2569190000.0,374.192,0.225248,86.4,55.391,60.89,0.816
Benin,2010,9445710,10932783.0,0.15743369212054997,BEN,Sub-Saharan Africa,Low income,39.278,10.094,95.4425,6970240000.0,757.696,3.13,70.8,59.318,81.5826,1.04
Benin,2015,10932783,,,BEN,Sub-Saharan Africa,Low income,37.432,9.332,,8291160000.0,783.963,11.255,64.4,60.608,93.7917,2.463
Bhutan,1970,298894,415257.0,0.3893119299818665,BTN,South Asia,Lower middle income,48.826,23.833,,,,,181.7,39.635,6.36338,
Bhutan,1980,415257,558442.0,0.34481056309707003,BTN,South Asia,Lower middle income,44.303,18.456,,135653000.0,333.403,,130.9,45.464,8.70824,
Bhutan,1990,558442,587207.0,0.05150937787630586,BTN,South Asia,Lower middle income,38.163,13.126,,299787000.0,564.78,0.0,89.3,52.878,11.3607,
Bhutan,2000,587207,705516.0,0.20147750282268434,BTN,South Asia,Lower middle income,27.066,8.838,,439158000.0,743.05,0.400944,57.8,60.884,14.8498,1.708
Bhutan,2010,705516,743274.0,0.05351827598523634,BTN,South Asia,Lower middle income,19.397,6.414,,1585470000.0,2312.86,13.6,34.2,68.384,17.9842,3.32
Bhutan,2015,743274,,,BTN,South Asia,Lower middle income,17.783,6.257,,2059810000.0,2829.89,39.8,27.5,70.419,19.0958,2.45
Bolivia,1970,4585693,5736088.0,0.25086611772746237,BOL,Latin America & Caribbean,Lower middle income,42.307,19.797,,1017000000.0,226.807,,143.1,45.568,4.13921,
Bolivia,1980,5736088,7096194.0,0.2371138657565923,BOL,Latin America & Caribbean,Lower middle income,39.193,16.019,253.408,4526920000.0,811.285,,110.5,50.349,5.15087,
Bolivia,1990,7096194,8592656.0,0.21088234058989933,BOL,Latin America & Caribbean,Lower middle income,35.336,12.597,266.139,4867580000.0,709.06,0.0,83.7,56.099,6.33697,
Bolivia,2000,8592656,10223270.0,0.1897683323992023,BOL,Latin America & Caribbean,Lower middle income,30.314,9.409,415.881,8397910000.0,997.582,1.44276,55.7,62.452,7.77094,3.366
Bolivia,2010,10223270,11090085.0,0.08478842875127039,BOL,Latin America & Caribbean,Lower middle income,25.008,7.448,596.502,19649600000.0,1955.46,22.4,32.6,68.007,9.27591,2.577
Bolivia,2015,11090085,,,BOL,Latin America & Caribbean,Lower middle income,22.821,6.89,,33000200000.0,3035.97,35.5623,24.9,70.277,10.0339,3.066
Bosnia and Herzegovina,1970,3815561,4199820.0,0.10070838862227599,BIH,Europe & Central Asia,Upper middle income,23.626,6.949,,,,,,66.187,73.4478,
Bosnia and Herzegovina,1980,4199820,4494310.0,0.0701196717954579,BIH,Europe & Central Asia,Upper middle income,18.474,6.276,,,,,,70.399,81.6378,
Bosnia and Herzegovina,1990,4494310,4179350.0,-0.07007972302756152,BIH,Europe & Central Asia,Upper middle income,14.844,7.711,2937.66,,,0.0,16.1,70.877,87.1762,
Bosnia and Herzegovina,2000,4179350,3811088.0,-0.08811465897807075,BIH,Europe & Central Asia,Upper middle income,10.983,8.289,2030.3,5505890000.0,1467.78,1.08296,8.6,74.403,73.2652,26.187
Bosnia and Herzegovina,2010,3811088,3524324.0,-0.07524465454484389,BIH,Europe & Central Asia,Upper middle income,9.256,9.747,3155.6,17176800000.0,4635.52,42.75,6.2,76.031,72.3725,27.312
Bosnia and Herzegovina,2015,3524324,,,BIH,Europe & Central Asia,Upper middle income,8.655,10.305,,16211500000.0,4727.28,52.6,5.3,76.865,66.9797,27.65
Botswana,1970,592244,938578.0,0.5847826233782022,BWA,Sub-Saharan Africa,Upper middle income,45.116,13.68,,96245100.0,153.326,0.0,85.3,53.824,1.10761,
Botswana,1980,938578,1341474.0,0.4292621391083107,BWA,Sub-Saharan Africa,Upper middle income,44.154,9.775,,1060920000.0,1181.6,0.0,53.9,59.174,1.5843,
Botswana,1990,1341474,1726985.0,0.28737865959384973,BWA,Sub-Saharan Africa,Upper middle income,34.932,8.966,769.377,3790570000.0,2945.83,0.0,39.4,59.191,2.27049,
Botswana,2000,1726985,2091664.0,0.2111651230323367,BWA,Sub-Saharan Africa,Upper middle income,29.302,13.535,1155.58,5788330000.0,3522.31,2.90267,50.0,50.629,2.89968,15.88
Botswana,2010,2091664,2305171.0,0.10207518989665644,BWA,Sub-Saharan Africa,Upper middle income,27.934,9.146,1561.06,12786700000.0,6434.82,6.0,38.4,60.211,3.50626,17.86
Botswana,2015,2305171,,,BWA,Sub-Saharan Africa,Upper middle income,26.44,6.259,,14420600000.0,6799.88,37.3121,33.2,67.338,3.74202,17.956
Brazil,1970,96369875,122288383.0,0.2689482371954929,BRA,Latin America & Caribbean,Upper middle income,35.116,10.157,,42327600000.0,445.023,,101.8,58.911,11.3797,
Brazil,1980,122288383,150706446.0,0.23238563061218986,BRA,Latin America & Caribbean,Upper middle income,31.875,8.42,1016.65,235000000000.0,1947.28,,76.6,62.63,14.4403,
Brazil,1990,150706446,175873720.0,0.16699533873952546,BRA,Latin America & Caribbean,Upper middle income,24.844,6.948,1460.76,462000000000.0,3100.28,0.0,52.5,66.343,17.8273,
Brazil,2000,175873720,196353492.0,0.11644589083576556,BRA,Latin America & Caribbean,Upper middle income,20.119,6.189,1897.35,655000000000.0,3749.75,2.87069,30.4,70.116,20.9126,9.894
Brazil,2010,196353492,205188205.0,0.04499391841730016,BRA,Latin America & Caribbean,Upper middle income,15.327,6.045,2374.12,2210000000000.0,11286.2,40.65,16.7,73.619,23.4159,7.726
Brazil,2015,205188205,,,BRA,Latin America & Caribbean,Upper middle income,14.472,6.25,,1800000000000.0,8814.0,58.328,14.0,74.994,24.4638,8.437
Bulgaria,1970,8582950,8980606.0,0.0463309235169726,BGR,Europe & Central Asia,Upper middle income,16.3,9.1,,,,,27.7,71.2563,76.7384,
Bulgaria,1980,8980606,8767778.0,-0.023698623455922684,BGR,Europe & Central Asia,Upper middle income,14.5,11.1,3973.69,19839200000.0,2238.8,,19.6,71.1576,80.1007,
Bulgaria,1990,8767778,8097691.0,-0.07642609108031705,BGR,Europe & Central Asia,Upper middle income,12.1,12.5,4758.73,20632100000.0,2366.53,0.0,14.6,71.6415,78.8058,
Bulgaria,2000,8097691,7592273.0,-0.062415076100088285,BGR,Europe & Central Asia,Upper middle income,9.0,14.1,3673.61,13153000000.0,1609.88,5.37092,14.3,71.6634,73.8513,16.218
Bulgaria,2010,7592273,7309253.0,-0.03727737398273218,BGR,Europe & Central Asia,Upper middle income,10.2,14.9,4560.41,50610100000.0,6843.27,46.23,9.0,73.5122,68.1245,10.279
Bulgaria,2015,7309253,,,BGR,Europe & Central Asia,Upper middle income,9.2,15.3,,50201300000.0,6993.78,56.6563,6.9,74.6146,66.12,9.143
Burkina Faso,1970,5611666,6932967.0,0.2354561016282865,BFA,Sub-Saharan Africa,Low income,47.464,24.653,,458404000.0,81.4999,,145.0,39.095,20.5577,
Burkina Faso,1980,6932967,9131361.0,0.3170928117788531,BFA,Sub-Saharan Africa,Low income,49.099,19.739,,1928720000.0,282.686,,114.4,46.049,24.9373,
Burkina Faso,1990,9131361,11882888.0,0.30132715156043005,BFA,Sub-Saharan Africa,Low income,47.417,17.005,,3101300000.0,351.979,0.0,98.8,49.454,32.2041,
Burkina Faso,2000,11882888,16116845.0,0.35630706945988216,BFA,Sub-Saharan Africa,Low income,46.253,15.539,,2628920000.0,226.476,0.0770802,90.9,50.489,42.4267,2.664
Burkina Faso,2010,16116845,18718019.0,0.1613947394790978,BFA,Sub-Saharan Africa,Low income,42.314,10.645,,8979970000.0,575.446,2.4,65.2,57.096,57.0366,4.909
Burkina Faso,2015,18718019,,,BFA,Sub-Saharan Africa,Low income,39.437,8.823,,10419300000.0,575.314,14.0,53.6,59.919,66.1938,6.704
Burundi,1970,3497834,4312834.0,0.23300133739908754,BDI,Sub-Saharan Africa,Low income,47.677,20.807,,242733000.0,69.7693,0.0,147.6,43.841,135.478,
Burundi,1980,4312834,5483793.0,0.2715056967182136,BDI,Sub-Saharan Africa,Low income,51.038,18.951,,919727000.0,221.232,0.0,132.9,46.852,161.889,
Burundi,1990,5483793,6307659.0,0.15023652424517117,BDI,Sub-Saharan Africa,Low income,49.866,17.326,,1132100000.0,208.147,0.0,105.2,47.829,211.797,
Burundi,2000,6307659,9126605.0,0.4469084330652624,BDI,Sub-Saharan Africa,Low income,42.993,15.005,,870486000.0,136.464,0.0772484,95.7,49.091,248.398,2.106
Burundi,2010,9126605,10727148.0,0.17537112650322875,BDI,Sub-Saharan Africa,Low income,42.919,10.113,,2032140000.0,234.236,1.0,59.2,57.228,337.835,1.8
Burundi,2015,10727148,,,BDI,Sub-Saharan Africa,Low income,40.883,8.517,,3104390000.0,305.55,4.86622,45.8,60.123,395.64,1.592
Cambodia,1970,6708525,6198959.0,-0.07595797884035611,KHM,East Asia & Pacific,Low income,43.026,19.885,,718401000.0,102.679,,,41.566,39.6362,
Cambodia,1980,6198959,8910808.0,0.4374684523643405,KHM,East Asia & Pacific,Low income,45.883,43.92,,,,,116.4,27.536,37.9207,
Cambodia,1990,8910808,12118841.0,0.3600159491709394,KHM,East Asia & Pacific,Low income,42.358,12.678,,,,0.0,84.7,53.595,50.8475,
Cambodia,2000,12118841,14363532.0,0.18522324040723037,KHM,East Asia & Pacific,Low income,28.058,9.426,32.7431,3677900000.0,302.577,0.0470226,79.5,58.432,68.8604,2.45
Cambodia,2010,14363532,15417523.0,0.0733796534167223,KHM,East Asia & Pacific,Low income,25.502,6.512,144.282,11242300000.0,785.502,1.26,37.7,66.56,81.0798,1.377
Cambodia,2015,15417523,,,KHM,East Asia & Pacific,Low income,23.674,6.099,,18050000000.0,1162.9,6.43319,27.5,68.637,87.9302,1.196
Cameroon,1970,6452787,8519891.0,0.32034282241146345,CMR,Sub-Saharan Africa,Lower middle income,44.703,19.167,,1160000000.0,177.921,,124.8,46.523,13.7923,
Cameroon,1980,8519891,11430520.0,0.3416274926521947,CMR,Sub-Saharan Africa,Lower middle income,46.105,15.687,156.123,6740760000.0,781.863,,108.3,51.537,18.2383,
Cameroon,1990,11430520,15091594.0,0.3202893656631544,CMR,Sub-Saharan Africa,Lower middle income,44.824,14.072,199.065,11151600000.0,946.646,0.0,85.1,53.362,24.9203,
Cameroon,2000,15091594,19878036.0,0.3171594730152428,CMR,Sub-Saharan Africa,Lower middle income,41.419,14.499,175.262,10083900000.0,649.992,0.25212,90.7,50.993,32.8192,7.618
