Country Name,CCA3,Year,Population,Country Name_wb,Country Code,Region,IncomeGroup,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
Aruba,ABW,1960,54211.0,Aruba,ABW,Latin America & Caribbean,High income: nonOECD,35.679,6.388,,,,,,65.662,,
Afghanistan,AFG,1960,8996351.0,Afghanistan,AFG,South Asia,Low income,51.279,32.219,,537778000.0,59.7732,,,32.446,,
Angola,AGO,1960,5643182.0,Angola,AGO,Sub-Saharan Africa,Upper middle income,49.08,27.097,,,,,,37.524,,
Albania,ALB,1960,1608800.0,Albania,ALB,Europe & Central Asia,Upper middle income,40.924,11.326,,,,,,62.283,,
Andorra,AND,1960,13411.0,Andorra,AND,Europe & Central Asia,High income: nonOECD,,,,,,,,,,
United Arab Emirates,ARE,1960,92634.0,United Arab Emirates,ARE,Middle East & North Africa,High income: nonOECD,47.266,15.714,,,,,134.1,51.537,,
Argentina,ARG,1960,20619075.0,Argentina,ARG,Latin America & Caribbean,High income: nonOECD,23.775,8.567,,,,,,65.055,,
Armenia,ARM,1960,1874120.0,Armenia,ARM,Europe & Central Asia,Lower middle income,38.509,9.646,,,,,,65.972,,
American Samoa,ASM,1960,20013.0,American Samoa,ASM,East Asia & Pacific,Upper middle income,,,,,,,,,,
Antigua and Barbuda,ATG,1960,55339.0,Antigua and Barbuda,ATG,Latin America & Caribbean,High income: nonOECD,32.829,9.643,,,,,,61.968,,
Australia,AUS,1960,10276477.0,Australia,AUS,East Asia & Pacific,High income: OECD,22.4,8.6,1825.63,18577700000.0,1807.79,,20.3,70.8171,,
Austria,AUT,1960,7047539.0,Austria,AUT,Europe & Central Asia,High income: OECD,17.9,12.7,1814.68,6592690000.0,935.46,,37.2,68.5856,,
Azerbaijan,AZE,1960,3895396.0,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,45.931,12.83,,,,,,61.034,,
Burundi,BDI,1960,2786106.0,Burundi,BDI,Sub-Saharan Africa,Low income,48.51,23.226,,195999990.0,70.0517,0.0,,41.281,,
Belgium,BEL,1960,9153489.0,Belgium,BEL,Europe & Central Asia,High income: OECD,16.8,12.4,1576.34,11658700000.0,1273.69,,29.4,69.702,,
Benin,BEN,1960,2431622.0,Benin,BEN,Sub-Saharan Africa,Low income,44.304,28.847,,226196000.0,93.0225,,184.9,37.271,,
Burkina Faso,BFA,1960,4829288.0,Burkina Faso,BFA,Sub-Saharan Africa,Low income,47.24,28.562,,330443000.0,68.4247,,155.6,34.432,,
Bangladesh,BGD,1960,48199747.0,Bangladesh,BGD,South Asia,Lower middle income,48.34,20.324,,4274890000.0,89.0352,,173.6,45.379,,
Bulgaria,BGR,1960,7867374.0,Bulgaria,BGR,Europe & Central Asia,Upper middle income,17.8,8.1,,,,,,69.2476,,
Bahrain,BHR,1960,162427.0,Bahrain,BHR,Middle East & North Africa,High income: nonOECD,45.934,14.694,,,,,133.7,51.869,,
"Bahamas, The",BHS,1960,109528.0,"Bahamas, The",BHS,Latin America & Caribbean,High income: nonOECD,34.38,7.274,,169804000.0,1550.24,,,64.74,,
Bosnia and Herzegovina,BIH,1960,3225668.0,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,31.504,9.656,,,,,,60.353,,
Belarus,BLR,1960,8198000.0,Belarus,BLR,Europe & Central Asia,Upper middle income,23.455,9.918,,,,,,67.7081,,
Belize,BLZ,1960,92064.0,Belize,BLZ,Latin America & Caribbean,Upper middle income,44.967,11.181,,28071900.0,304.917,,,59.981,,
Bermuda,BMU,1960,44400.0,Bermuda,BMU,North America,High income: nonOECD,28.3,9.9,,84466700.0,1902.4,,,,,
Bolivia,BOL,1960,3693449.0,Bolivia,BOL,Latin America & Caribbean,Lower middle income,43.812,23.584,,373879000.0,102.238,,175.2,41.82,,
Brazil,BRA,1960,72207554.0,Brazil,BRA,Latin America & Caribbean,Upper middle income,42.28,13.353,,15165600000.0,210.11,,127.4,54.143,,
Barbados,BRB,1960,230939.0,Barbados,BRB,Latin America & Caribbean,High income: nonOECD,30.56,10.826,,,,,69.6,64.472,,
Brunei Darussalam,BRN,1960,81745.0,Brunei Darussalam,BRN,East Asia & Pacific,High income: nonOECD,45.211,13.857,,,,,,54.81,,
Bhutan,BTN,1960,223288.0,Bhutan,BTN,South Asia,Lower middle income,49.525,28.811,,,,,,34.526,,
Botswana,BWA,1960,524552.0,Botswana,BWA,Sub-Saharan Africa,Upper middle income,47.281,17.687,,30412300.0,60.4925,0.0,115.6,49.179,,
Central African Republic,CAF,1960,1503508.0,Central African Republic,CAF,Sub-Saharan Africa,Low income,43.148,28.161,,112156000.0,74.6873,,,36.249,,
Canada,CAN,1960,17909009.0,Canada,CAN,North America,High income: OECD,26.7,7.8,5630.63,,,,27.8,71.1332,,
Switzerland,CHE,1960,5327827.0,Switzerland,CHE,Europe & Central Asia,High income: OECD,17.7,9.8,3075.55,9522750000.0,1787.36,,21.7,71.3134,,
Channel Islands,CHI,1960,109420.0,Channel Islands,CHI,Europe & Central Asia,High income: nonOECD,16.068,12.157,,,,,,70.739,,
Chile,CHL,1960,7716625.0,Chile,CHL,Latin America & Caribbean,High income: OECD,35.556,11.498,,4110000000.0,505.349,,131.0,57.219,,
China,CHN,1960,667070000.0,China,CHN,East Asia & Pacific,Upper middle income,20.86,25.43,,59716500000.0,89.5205,,,43.725,,
Cote d'Ivoire,CIV,1960,3558988.0,Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,54.472,28.627,,546204000.0,155.9,,212.9,36.095,,
Cameroon,CMR,1960,5176268.0,Cameroon,CMR,Sub-Saharan Africa,Lower middle income,42.549,22.243,,618741000.0,119.519,,163.5,41.785,,
"Congo, Dem. Rep.",COD,1960,15248251.0,"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,46.651,22.794,,3359400000.0,220.314,,,41.098,,
"Congo, Rep.",COG,1960,1037220.0,"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,42.702,18.924,,131732000.0,129.37,,110.1,45.721,,
Colombia,COL,1960,16480383.0,Colombia,COL,Latin America & Caribbean,Upper middle income,46.11,11.666,,4031150000.0,251.041,,94.5,57.269,,
Comoros,COM,1960,191121.0,Comoros,COM,Sub-Saharan Africa,Low income,47.707,23.413,,,,,,41.447,,
Cabo Verde,CPV,1960,202310.0,Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,47.987,20.396,,,,,,48.461,,
Costa Rica,CRI,1960,1333040.0,Costa Rica,CRI,Latin America & Caribbean,Upper middle income,45.901,10.229,,507514000.0,381.365,,,60.381,,
Cuba,CUB,1960,7141135.0,Cuba,CUB,Latin America & Caribbean,Upper middle income,32.046,8.834,,,,,,63.834,,
Curacao,CUW,1960,124826.0,Curacao,CUW,Latin America & Caribbean,High income: nonOECD,,,,,,,,,,
Cayman Islands,CYM,1960,7865.0,Cayman Islands,CYM,Latin America & Caribbean,High income: nonOECD,,,,,,,,,,
Cyprus,CYP,1960,572930.0,Cyprus,CYP,Europe & Central Asia,High income: nonOECD,25.558,7.506,,,,,,69.618,,
Czech Republic,CZE,1960,9602006.0,Czech Republic,CZE,Europe & Central Asia,High income: OECD,13.4,9.8,,,,,,70.3488,,
Germany,DEU,1960,72814900.0,Germany,DEU,Europe & Central Asia,High income: OECD,17.3,12.0,1586.75,,,,,69.31,,
Djibouti,DJI,1960,83636.0,Djibouti,DJI,Middle East & North Africa,Lower middle income,43.595,18.24,,,,,,44.038,,
Dominica,DMA,1960,60011.0,Dominica,DMA,Latin America & Caribbean,Upper middle income,,,,,,,83.7,,,
Denmark,DNK,1960,4579603.0,Denmark,DNK,Europe & Central Asia,High income: OECD,16.6,9.5,1089.61,6248950000.0,1364.52,,21.3,72.1766,,
Dominican Republic,DOM,1960,3294042.0,Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,51.887,16.112,,672399700.0,204.115,,101.9,51.602,,
Algeria,DZA,1960,11124888.0,Algeria,DZA,Middle East & North Africa,Upper middle income,49.656,20.355,,2723650000.0,246.309,,146.5,46.141,,
Ecuador,ECU,1960,4545550.0,Ecuador,ECU,Latin America & Caribbean,Upper middle income,44.277,15.676,,2069470000.0,455.462,,119.7,52.982,,
"Egypt, Arab Rep.",EGY,1960,26996533.0,"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,46.919,19.358,,,,,210.9,48.042,,
Eritrea,ERI,1960,1397491.0,Eritrea,ERI,Sub-Saharan Africa,Low income,48.763,25.11,,,,,,38.419,,
Spain,ESP,1960,30455000.0,Spain,ESP,Europe & Central Asia,High income: OECD,21.7,8.6,494.796,12072100000.0,396.392,,,69.1093,,
Estonia,EST,1960,1211537.0,Estonia,EST,Europe & Central Asia,High income: OECD,16.7,10.5,,,,,,67.9029,,
Ethiopia,ETH,1960,22151278.0,Ethiopia,ETH,Sub-Saharan Africa,Low income,47.821,25.0,,,,,,38.419,,
Finland,FIN,1960,4429634.0,Finland,FIN,Europe & Central Asia,High income: OECD,18.5,9.0,1873.29,5224100000.0,1179.35,,22.0,68.8198,,
Fiji,FJI,1960,393386.0,Fiji,FJI,East Asia & Pacific,Upper middle income,45.395,8.449,,112328000.0,285.474,,57.3,60.811,,
France,FRA,1960,46814237.0,France,FRA,Europe & Central Asia,High income: OECD,18.7,11.4,1462.71,62651500000.0,1343.83,,23.6,69.8683,,
Faroe Islands,FRO,1960,34661.0,Faroe Islands,FRO,Europe & Central Asia,High income: nonOECD,,,,,,,,,,
Gabon,GAB,1960,499184.0,Gabon,GAB,Sub-Saharan Africa,Upper middle income,32.464,25.486,,141469000.0,282.414,,,39.694,,
United Kingdom,GBR,1960,52400000.0,United Kingdom,GBR,Europe & Central Asia,High income: OECD,17.5,11.5,2412.14,72328000000.0,1380.31,,22.9,71.1268,,
Georgia,GEO,1960,3645600.0,Georgia,GEO,Europe & Central Asia,Lower middle income,25.078,12.402,,,,,,63.651,,
Ghana,GHA,1960,6652287.0,Ghana,GHA,Sub-Saharan Africa,Lower middle income,47.321,18.464,,1217230000.0,183.45,,124.3,45.843,,
Guinea,GIN,1960,3577409.0,Guinea,GIN,Sub-Saharan Africa,Low income,46.034,29.661,,,,,,34.89,,
"Gambia, The",GMB,1960,367928.0,"Gambia, The",GMB,Sub-Saharan Africa,Low income,48.847,31.123,,,,,152.7,32.054,,
Guinea-Bissau,GNB,1960,616409.0,Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,42.388,25.761,,,,,,37.478,,
Equatorial Guinea,GNQ,1960,255323.0,Equatorial Guinea,GNQ,Sub-Saharan Africa,High income: nonOECD,40.874,28.015,,,,,,36.535,,
Greece,GRC,1960,8331725.0,Greece,GRC,Europe & Central Asia,High income: OECD,18.9,7.3,241.727,4446530000.0,533.686,,38.8,68.1639,,
Grenada,GRD,1960,89869.0,Grenada,GRD,Latin America & Caribbean,Upper middle income,44.803,11.065,,,,0.0,,62.231,,
Greenland,GRL,1960,32500.0,Greenland,GRL,Europe & Central Asia,High income: nonOECD,,,,,,,,,,
Guatemala,GTM,1960,4210747.0,Guatemala,GTM,Latin America & Caribbean,Lower middle income,48.399,18.695,,1043599899.0,247.842,,147.3,46.702,,
Guam,GUM,1960,66742.0,Guam,GUM,East Asia & Pacific,High income: nonOECD,37.601,8.019,,,,,,60.97,,
Guyana,GUY,1960,571819.0,Guyana,GUY,Latin America & Caribbean,Lower middle income,43.02,10.066,,170215000.0,297.673,,66.9,60.26,,
"Hong Kong SAR, China",HKG,1960,3075605.0,"Hong Kong SAR, China",HKG,East Asia & Pacific,High income: nonOECD,35.245,5.966,,1320800000.0,429.443,,,66.9617,,
Honduras,HND,1960,2038637.0,Honduras,HND,Latin America & Caribbean,Lower middle income,49.949,19.928,,335649999.0,164.645,,139.8,46.274,,
Croatia,HRV,1960,4140000.0,Croatia,HRV,Europe & Central Asia,High income: nonOECD,18.4,10.0,,,,,,64.6087,,
Haiti,HTI,1960,3866159.0,Haiti,HTI,Latin America & Caribbean,Low income,44.233,22.612,,273187200.0,70.6611,,189.1,41.762,,
Hungary,HUN,1960,9983967.0,Hungary,HUN,Europe & Central Asia,High income: OECD,14.7,10.2,,,,,47.5,68.0032,,
Indonesia,IDN,1960,87792515.0,Indonesia,IDN,East Asia & Pacific,Lower middle income,44.549,19.177,,,,,148.7,46.664,,
Isle of Man,IMN,1960,48442.0,Isle of Man,IMN,Europe & Central Asia,High income: nonOECD,14.1,16.7,,,,,,,,
India,IND,1960,449480608.0,India,IND,South Asia,Lower middle income,41.995,22.184,,37029900000.0,82.1886,,161.4,41.422,,
Ireland,IRL,1960,2828600.0,Ireland,IRL,Europe & Central Asia,High income: OECD,21.5,11.5,695.043,1939330000.0,685.615,,30.4,69.7965,,
"Iran, Islamic Rep.",IRN,1960,21906903.0,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,47.77,21.933,,4199130000.0,191.681,,,44.947,,
Iraq,IRQ,1960,7289761.0,Iraq,IRQ,Middle East & North Africa,Upper middle income,42.164,17.534,,1684120000.0,231.026,,129.4,48.022,,
Iceland,ISL,1960,175574.0,Iceland,ISL,Europe & Central Asia,High income: OECD,28.0,6.6,2614.28,248434000.0,1414.98,,17.3,73.4232,,
Israel,ISR,1960,2114020.0,Israel,ISR,Middle East & North Africa,High income: OECD,26.9,5.7,,2598500000.0,1229.17,,,,,
Italy,ITA,1960,50199700.0,Italy,ITA,Europe & Central Asia,High income: OECD,18.1,9.6,975.026,40385300000.0,804.493,,44.2,69.1239,,
Jamaica,JAM,1960,1628252.0,Jamaica,JAM,Latin America & Caribbean,Upper middle income,40.594,8.877,,699051000.0,429.255,,60.8,64.77,,
Jordan,JOR,1960,932257.0,Jordan,JOR,Middle East & North Africa,Upper middle income,51.645,15.8,,,,,107.0,52.651,,
Japan,JPN,1960,92500572.0,Japan,JPN,East Asia & Pacific,High income: OECD,17.3,7.6,1110.26,44307300000.0,478.995,,30.4,67.6661,,
Kazakhstan,KAZ,1960,9714260.0,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,35.507,12.299,,,,,,58.3676,,
Kenya,KEN,1960,8105440.0,Kenya,KEN,Sub-Saharan Africa,Lower middle income,51.156,19.952,,791265000.0,97.4455,,118.2,46.76,,
Kyrgyz Republic,KGZ,1960,2172300.0,Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,40.682,15.658,,,,,,56.1281,,
Cambodia,KHM,1960,5722370.0,Cambodia,KHM,East Asia & Pacific,Low income,46.626,21.77,,637143000.0,111.342,,,41.242,,
Kiribati,KIR,1960,41233.0,Kiribati,KIR,East Asia & Pacific,Lower middle income,47.472,19.221,,,,,,47.061,,
St. Kitts and Nevis,KNA,1960,51195.0,St. Kitts and Nevis,KNA,Latin America & Caribbean,High income: nonOECD,,,,12366600.0,241.558,,,,,
"Korea, Rep.",KOR,1960,25012374.0,"Korea, Rep.",KOR,East Asia & Pacific,High income: OECD,42.277,12.622,,3957240000.0,158.211,,79.7,55.4155,,
Kuwait,KWT,1960,269618.0,Kuwait,KWT,Middle East & North Africa,High income: nonOECD,42.227,9.544,,,,,97.7,59.343,,
Lebanon,LBN,1960,1804926.0,Lebanon,LBN,Middle East & North Africa,Upper middle income,38.374,10.467,,,,,56.6,63.267,,
Liberia,LBR,1960,1120313.0,Liberia,LBR,Sub-Saharan Africa,Low income,48.761,29.444,,,,,210.7,34.264,,
Libya,LBY,1960,1448417.0,Libya,LBY,Middle East & North Africa,Upper middle income,50.392,23.974,,,,,163.4,42.609,,
St. Lucia,LCA,1960,89897.0,St. Lucia,LCA,Latin America & Caribbean,Upper middle income,48.988,13.588,,,,,,56.739,,
Liechtenstein,LIE,1960,16495.0,Liechtenstein,LIE,Europe & Central Asia,High income: nonOECD,23.1,7.5,,,,,,,,
Sri Lanka,LKA,1960,9874481.0,Sri Lanka,LKA,South Asia,Lower middle income,37.098,11.827,,1409870000.0,142.78,,70.6,59.369,,
Lesotho,LSO,1960,851591.0,Lesotho,LSO,Sub-Saharan Africa,Lower middle income,43.113,18.548,,34579300.0,41.3001,,141.1,47.919,,
Lithuania,LTU,1960,2778550.0,Lithuania,LTU,Europe & Central Asia,High income: nonOECD,22.5,7.8,,,,,,69.8473,,
Luxembourg,LUX,1960,313970.0,Luxembourg,LUX,Europe & Central Asia,High income: OECD,16.0,11.8,4548.21,703926000.0,2242.02,,,68.4464,,
Latvia,LVA,1960,2120979.0,Latvia,LVA,Europe & Central Asia,High income: nonOECD,16.7,10.0,,,,,,69.7868,,
"Macao SAR, China",MAC,1960,167796.0,"Macao SAR, China",MAC,East Asia & Pacific,High income: nonOECD,30.46,8.65,,,,,,64.828,,
St. Martin (French part),MAF,1960,4279.0,St. Martin (French part),MAF,Latin America & Caribbean,High income: nonOECD,,,,,,,,,,
